teff,logg,M_H,en
3900,3.0,0.0,0.0
3900,3.5,-0.5,0.2
3900,3.5,0.0,0.0
3900,4.0,-0.5,0.2
3900,4.0,0.0,0.0
3900,4.5,-2.5,0.4
3900,4.5,-2.0,0.4
3900,4.5,-1.5,0.4
3900,4.5,-1.0,0.4
3900,4.5,-0.5,0.2
3900,4.5,0.0,0.0
3900,4.5,0.5,0.0
3900,5.0,-2.5,0.4
3900,5.0,-2.0,0.4
3900,5.0,-1.5,0.4
3900,5.0,-1.0,0.4
3900,5.0,-0.5,0.2
3900,5.0,0.0,0.0
3900,5.0,0.0,0.2
3900,5.0,0.5,0.0
3900,5.5,-2.5,0.4
3900,5.5,-2.0,0.4
3900,5.5,-1.5,0.4
3900,5.5,-1.0,0.4
3900,5.5,-0.5,0.2
3900,5.5,0.0,0.0
3900,5.5,0.0,0.2
3900,5.5,0.5,0.0
3900,6.0,-0.5,0.2
3900,6.0,0.0,0.0
4000,0.0,0.0,0.0
4000,0.5,0.0,0.0
4000,0.5,0.0,0.0
4000,1.0,0.0,0.0
4000,1.5,0.0,0.0
4000,2.0,-1.0,0.4
4000,2.0,0.0,0.0
4000,2.5,-1.0,0.4
4000,2.5,0.0,0.0
4000,3.0,-1.0,0.4
4000,3.0,-0.5,0.2
4000,3.0,0.0,0.0
4000,3.5,-0.5,0.2
4000,3.5,0.0,0.0
4000,4.0,-0.5,0.2
4000,4.0,0.0,0.0
4000,4.5,-2.5,0.4
4000,4.5,-2.0,0.4
4000,4.5,-1.5,0.4
4000,4.5,-1.0,0.4
4000,4.5,-0.5,0.2
4000,4.5,0.0,0.0
4000,4.5,0.5,0.0
4000,5.0,-2.5,0.4
4000,5.0,-2.0,0.4
4000,5.0,-1.5,0.4
4000,5.0,-1.0,0.4
4000,5.0,-0.5,0.2
4000,5.0,0.0,0.0
4000,5.0,0.0,0.2
4000,5.0,0.5,0.0
4000,5.5,-2.5,0.4
4000,5.5,-2.0,0.4
4000,5.5,-1.5,0.4
4000,5.5,-1.0,0.4
4000,5.5,-0.5,0.2
4000,5.5,0.0,0.0
4000,5.5,0.0,0.2
4000,5.5,0.5,0.0
4000,6.0,-0.5,0.2
4000,6.0,0.0,0.0
4100,0.5,0.0,0.0
4100,1.0,0.0,0.0
4100,1.5,0.0,0.0
4100,2.0,-1.0,0.4
4100,2.0,0.0,0.0
4100,2.5,-1.0,0.4
4100,2.5,0.0,0.0
4100,3.0,-1.0,0.4
4100,3.0,-0.5,0.2
4100,3.0,0.0,0.0
4100,3.5,-0.5,0.2
4100,3.5,0.0,0.0
4100,4.0,-0.5,0.2
4100,4.0,0.0,0.0
4100,4.5,-2.5,0.4
4100,4.5,-2.0,0.4
4100,4.5,-1.5,0.4
4100,4.5,-1.0,0.4
4100,4.5,-0.5,0.2
4100,4.5,0.0,0.0
4100,5.0,-2.5,0.4
4100,5.0,-2.0,0.4
4100,5.0,-1.5,0.4
4100,5.0,-1.0,0.4
4100,5.0,-0.5,0.2
4100,5.0,0.0,0.0
4100,5.0,0.0,0.2
4100,5.0,0.5,0.0
4100,5.5,-2.5,0.4
4100,5.5,-2.0,0.4
4100,5.5,-1.5,0.4
4100,5.5,-1.0,0.4
4100,5.5,-0.5,0.2
4100,5.5,0.0,0.0
4100,5.5,0.0,0.2
4100,5.5,0.5,0.0
4100,6.0,-1.0,0.4
4100,6.0,-0.5,0.2
4100,6.0,0.0,0.0
4200,0.5,0.0,0.0
4200,1.0,0.0,0.0
4200,1.5,0.0,0.0
4200,2.0,-1.0,0.4
4200,2.0,0.0,0.0
4200,2.5,-1.0,0.4
4200,2.5,0.0,0.0
4200,3.0,-1.0,0.4
4200,3.0,-0.5,0.2
4200,3.0,0.0,0.0
4200,3.5,-0.5,0.2
4200,3.5,0.0,0.0
4200,4.0,-0.5,0.2
4200,4.0,0.0,0.0
4200,4.5,-2.5,0.4
4200,4.5,-2.0,0.4
4200,4.5,-1.5,0.4
4200,4.5,-1.0,0.4
4200,4.5,-0.5,0.2
4200,4.5,0.0,0.0
4200,5.0,-2.5,0.4
4200,5.0,-2.0,0.4
4200,5.0,-1.5,0.4
4200,5.0,-1.0,0.4
4200,5.0,-0.5,0.2
4200,5.0,0.0,0.0
4200,5.0,0.0,0.2
4200,5.0,0.5,0.0
4200,5.5,-2.5,0.4
4200,5.5,-2.0,0.4
4200,5.5,-1.5,0.4
4200,5.5,-1.0,0.4
4200,5.5,-0.5,0.2
4200,5.5,0.0,0.0
4200,5.5,0.0,0.2
4200,5.5,0.5,0.0
4200,6.0,-1.0,0.4
4200,6.0,-0.5,0.2
4200,6.0,0.0,0.0
4300,0.5,0.0,0.0
4300,1.0,0.0,0.0
4300,1.5,0.0,0.0
4300,2.0,-1.0,0.4
4300,2.0,0.0,0.0
4300,2.5,0.0,0.0
4300,3.0,-1.0,0.4
4300,3.0,-0.5,0.2
4300,3.0,0.0,0.0
4300,3.5,-0.5,0.2
4300,3.5,0.0,0.0
4300,4.0,-0.5,0.2
4300,4.0,0.0,0.0
4300,4.5,-2.5,0.4
4300,4.5,-2.0,0.4
4300,4.5,-1.5,0.4
4300,4.5,-1.0,0.4
4300,4.5,-0.5,0.2
4300,4.5,0.0,0.0
4300,5.0,-2.5,0.4
4300,5.0,-2.0,0.4
4300,5.0,-1.5,0.4
4300,5.0,-1.0,0.4
4300,5.0,-0.5,0.2
