teff,logg,Y,f_rain,kzz,FeH,CO,f_hole
550,3.5,0.28,0.0,100000.0,-0.5,1.0,1.0
550,3.5,0.28,0.0,100000.0,0.0,1.0,1.0
550,3.75,0.28,0.0,100000.0,0.0,1.0,1.0
550,4.0,0.28,0.0,100000.0,-0.5,1.0,1.0
550,4.0,0.28,0.0,100000.0,0.0,1.0,1.0
550,4.25,0.28,0.0,100000.0,0.0,1.0,1.0
550,4.5,0.28,0.0,100000.0,-0.5,1.0,1.0
550,4.5,0.28,0.0,100000.0,0.0,1.0,1.0
550,4.75,0.28,0.0,100000.0,0.0,1.0,1.0
550,5.0,0.28,0.0,100000.0,-0.5,1.0,1.0
550,5.0,0.28,0.0,100000.0,0.0,0.5,1.0
550,5.0,0.28,0.0,100000.0,0.0,1.0,1.0
550,5.0,0.28,0.0,100000.0,0.0,1.5,1.0
550,5.25,0.28,0.0,100000.0,-0.5,1.0,1.0
550,5.25,0.28,0.0,100000.0,0.0,1.0,1.0
550,5.5,0.28,0.0,100000.0,-0.5,1.0,1.0
550,5.5,0.28,0.0,100000.0,0.0,1.0,1.0
575,3.0,0.28,0.0,100000.0,-0.5,1.0,1.0
575,3.0,0.28,0.0,100000.0,0.0,1.0,1.0
575,3.25,0.28,0.0,100000.0,-0.5,1.0,1.0
575,3.25,0.28,0.0,100000.0,0.0,1.0,1.0
575,3.5,0.28,0.0,100000.0,-0.5,1.0,1.0
575,3.5,0.28,0.0,100000.0,0.0,1.0,1.0
575,3.75,0.28,0.0,100000.0,0.0,1.0,1.0
575,4.0,0.28,0.0,100000.0,-0.5,1.0,1.0
575,4.0,0.28,0.0,100000.0,0.0,1.0,1.0
575,4.25,0.28,0.0,100000.0,0.0,1.0,1.0
575,4.5,0.28,0.0,100000.0,-0.5,1.0,1.0
575,4.5,0.28,0.0,100000.0,0.0,1.0,1.0
575,4.75,0.28,0.0,100000.0,0.0,1.0,1.0
575,5.0,0.28,0.0,100000.0,-0.5,1.0,1.0
575,5.0,0.28,0.0,100000.0,0.0,0.5,1.0
575,5.0,0.28,0.0,100000.0,0.0,1.0,1.0
575,5.0,0.28,0.0,100000.0,0.0,1.5,1.0
575,5.25,0.28,0.0,100000.0,-0.5,1.0,1.0
575,5.25,0.28,0.0,100000.0,0.0,1.0,1.0
575,5.5,0.28,0.0,100000.0,-0.5,1.0,1.0
575,5.5,0.28,0.0,100000.0,0.0,1.0,1.0
600,3.0,0.28,0.0,100000.0,-0.5,1.0,1.0
600,3.0,0.28,0.0,100000.0,0.0,1.0,1.0
600,3.25,0.28,0.0,100000.0,-0.5,1.0,1.0
600,3.25,0.28,0.0,100000.0,0.0,1.0,1.0
600,3.5,0.28,0.0,100000.0,-0.5,1.0,1.0
600,3.5,0.28,0.0,100000.0,0.0,1.0,1.0
600,3.75,0.28,0.0,100000.0,0.0,1.0,1.0
600,4.0,0.28,0.0,100000.0,-0.5,1.0,1.0
